ArtistName,Genre_name,COUNT(*)
Led Zeppelin,Rock,114
U2,Rock,112
Deep Purple,Rock,92
Iron Maiden,Rock,81
Pearl Jam,Rock,54
Van Halen,Rock,52
Queen,Rock,45
The Rolling Stones,Rock,41
Creedence Clearwater Revival,Rock,40
Kiss,Rock,35
Foo Fighters,Rock,33
Red Hot Chili Peppers,Rock,31
Lenny Kravitz,Rock,30
The Cult,Rock,30
Nirvana,Rock,29
Guns N' Roses,Rock,28
Santana,Rock,27
Skank,Rock,23
The Who,Rock,20
AC/DC,Rock,18
Ozzy Osbourne,Rock,18
Jimi Hendrix,Rock,17
Soundgarden,Rock,17
Def Leppard,Rock,16
Aerosmith,Rock,15
Faith No More,Rock,15
O Terço,Rock,15
Audioslave,Rock,14
R.E.M.,Rock,14
Raul Seixas,Rock,14
Rush,Rock,14
The Police,Rock,14
Alanis Morissette,Rock,13
Velvet Revolver,Rock,13
Alice In Chains,Rock,12
David Coverdale,Rock,12
Page & Plant,Rock,12
Scorpions,Rock,12
Stone Temple Pilots,Rock,12
The Doors,Rock,11
Jamiroquai,Rock,10
Joe Satriani,Rock,10
Marillion,Rock,10
Men At Work,Rock,10
Paul D'Ianno,Rock,10
Frank Zappa & Captain Beefheart,Rock,9
Pink Floyd,Rock,9
"Terry Bozzio, Tony Levin & Steve Stevens",Rock,7
Accept,Rock,4
The Posies,Rock,2
Dread Zeppelin,Rock,1
